lon,lat,q,dist_gem_km,dist_pb_km,dist_min_km
-127.7853,47.7095,5330.0,151.92530470913294,128.35064361405836,128.35064361405836
-127.7859,47.7097,13100.0,151.9557503302011,128.2831263581744,128.2831263581744
-127.7862,47.7098,4980.0,151.97098453272207,128.24937064528135,128.24937064528135
-127.7848,47.7122,4670.0,151.59826327346283,128.3969929132034,128.3969929132034
-127.7853,47.7105,5670.0,151.82001185443283,128.34701792490876,128.34701792490876
-127.7855,47.7104,13500.0,151.84771428484967,128.32511210709384,128.32511210709384
-127.7864,47.7099,70800.0,151.97763689597951,128.22674611626698,128.22674611626698
-127.7866,47.7093,4220.0,152.05797063707797,128.2067167015813,128.2067167015813
-127.7864,47.7098,19800.0,151.988161214997,128.22711223051485,128.22711223051485
-127.7864,47.71,489000.0,151.96711362890667,128.22638213471217,128.22638213471217
-127.7863,47.7101,21300.0,151.94800112343697,128.23714958779468,128.23714958779468
-127.7864,47.7099,22100.0,151.97763689597951,128.22674611626698,128.22674611626698
-127.7863,47.7099,7980.0,151.9690477950353,128.23787535518852,128.23787535518852
-127.7861,47.7099,12200.0,151.95187058322344,128.26013383443345,128.26013383443345
-127.7864,47.71,7160.0,151.96711362890667,128.22638213471217,128.22638213471217
-127.7864,47.7099,207000.0,151.97763689597951,128.22674611626698,128.22674611626698
-127.7864,47.7098,18300.0,151.988161214997,128.22711223051485,128.22711223051485
-127.7863,47.7097,6210.0,151.99009867432642,128.23860965261503,128.23860965261503
-127.7864,47.71,9600.0,151.96711362890667,128.22638213471217,128.22638213471217
-127.7869,47.709,3460.0,152.11531730760223,128.17447319407708,128.17447319407708
-127.7867,47.7091,2560.0,152.08761589504024,128.19634780751,128.19634780751
-127.7866,47.7096,29400.0,152.02638863148724,128.205592572342,128.205592572342
-127.7865,47.71,7760.0,151.97570365455675,128.21525286466897,128.21525286466897
-127.7864,47.7099,383000.0,151.97763689597951,128.22674611626698,128.22674611626698
-127.7863,47.7099,11500.0,151.9690477950353,128.23787535518852,128.23787535518852
-127.7864,47.71,410000.0,151.96711362890667,128.22638213471217,128.22638213471217
-127.7899,47.7089,2220.0,152.38354553008946,127.84099160768517,127.84099160768517
-127.788,47.7095,2600.0,152.15717289190613,128.0501576647707,128.0501576647707
-127.7879,47.7096,6720.0,152.13806233650368,128.06091376984523,128.06091376984523
-127.7869,47.7099,8110.0,152.02058734879895,128.1710999287348,128.1710999287348
-127.7866,47.7099,5790.0,151.99481608765342,128.20448763984123,128.20448763984123
-127.7881,47.7117,2290.0,151.9346263573171,128.03131459046148,128.03131459046148
-127.787,47.7093,18000.0,152.09231870946084,128.16220052864156,128.16220052864156
-127.7867,47.7095,18700.0,152.0455026278515,128.19483603992285,128.19483603992285
-127.7865,47.7098,57600.0,151.99675005115256,128.2159830238447,128.2159830238447
