lon,lat,q
-127.763,47.7046,188.0
-127.765,47.7047,192.0
-127.769,47.7057,203.0
-127.772,47.706,215.0
-127.773,47.7062,222.0
-127.776,47.7077,234.0
-127.78,47.7083,339.0
-127.78,47.7087,436.0
-127.784,47.7095,989.0
-127.792,47.7113,590.0
-127.795,47.7126,318.0
-127.798,47.7129,252.0
-127.801,47.7138,215.0
-127.802,47.7144,212.0
-127.807,47.7147,188.0
-127.808,47.7154,192.0
-127.811,47.7163,208.0
-127.821,47.7187,179.0
-127.769,47.7062,218.0
-127.772,47.7062,218.0
-127.786,47.7091,454.0
-127.785,47.709,932.0
-127.784,47.7095,1108.0
-127.783,47.7098,763.0
-127.781,47.7089,468.0
-127.765,47.7054,202.0
-127.764,47.707,212.0
-127.762,47.7086,199.0
-127.761,47.7098,195.0
-127.761,47.7103,191.0
-127.761,47.7129,192.0
-127.759,47.7151,186.0
-127.759,47.7166,184.0
-127.757,47.7185,183.0
-127.756,47.7203,179.0
-127.756,47.722,181.0
-127.755,47.7236,178.0
-127.754,47.725,177.0
-127.753,47.7272,178.0
-127.752,47.7289,174.0
-127.647,47.7176,171.0
-127.653,47.719,185.0
-127.656,47.7196,193.0
-127.664,47.7213,209.0
-127.666,47.7216,200.0
-127.676,47.7234,189.0
-127.682,47.7245,209.0
-127.691,47.7263,255.0
-127.694,47.7272,232.0
-127.698,47.728,189.0
-127.701,47.7288,177.0
-127.704,47.7295,182.0
-127.708,47.73,177.0
-127.711,47.7307,186.0
-127.714,47.7318,179.0
-127.717,47.7319,170.0
-127.8,47.7062,237.0
-127.799,47.7067,234.0
-127.798,47.707,258.0
-127.797,47.7074,286.0
-127.795,47.7076,336.0
-127.794,47.7077,403.0
-127.794,47.7084,452.0
-127.793,47.7085,712.0
-127.792,47.7087,927.0
-127.791,47.7091,1272.0
-127.79,47.7095,1526.0
-127.79,47.7094,1710.0
-127.789,47.7094,1957.0
-127.784,47.712,1219.0
-127.783,47.7125,902.0
-127.782,47.7125,920.0
-127.781,47.7131,706.0
-127.78,47.7125,508.0
-127.778,47.7131,402.0
-127.778,47.7137,360.0
-127.776,47.7144,313.0
-127.775,47.7138,270.0
-127.773,47.7146,253.0
-127.773,47.7148,253.0
-127.775,47.7157,299.0
-127.777,47.7159,294.0
-127.777,47.716,325.0
-127.779,47.7165,390.0
-127.781,47.7171,413.0
-127.783,47.7169,451.0
-127.783,47.717,485.0
-127.784,47.718,531.0
-127.786,47.7183,565.0
-127.78,47.7008,252.0
-127.781,47.7019,263.0
-127.781,47.7021,268.0
-127.781,47.7032,284.0
-127.781,47.7041,284.0
-127.781,47.7047,302.0
-127.782,47.7035,291.0
-127.782,47.7041,293.0
-127.783,47.7045,304.0
-127.784,47.7054,317.0
-127.786,47.7045,328.0
-127.785,47.7072,366.0
-127.786,47.708,455.0
