lat,lon,q,dist_min_km,dist_gem_km,dist_pb_km
-64.42,-63.69,133.0,357.43023374572147,498.2915229676122,357.43023374572147
-64.39,-66.73,53.2,547.9515591236786,578.0713869664949,547.9515591236786
-64.38,-66.77,97.9,549.2420215908257,578.2809123842259,549.2420215908257
-64.38,-66.76,29.1,548.4577912733934,577.6814445388992,548.4577912733934
-64.38,-66.76,41.0,548.4577912733934,577.6814445388992,548.4577912733934
-64.38,-66.76,70.2,548.4577912733934,577.6814445388992,548.4577912733934
-64.38,-66.75,44.0,547.6747006587082,577.0835013297217,547.6747006587082
-64.3717,-70.2617,87.0,851.8625981991779,851.9447970631849,851.8625981991779
-64.37,-66.67,42.8,539.6027956507828,570.166812524834,539.6027956507828
-64.37,-66.67,60.5,539.6027956507828,570.166812524834,539.6027956507828
-64.37,-66.66,62.7,538.8275342440405,569.5805613777618,538.8275342440405
-64.37,-66.65,54.9,538.0534589152736,568.995884079919,538.0534589152736
-64.37,-66.64,70.8,537.2805747909322,568.4127854879567,537.2805747909322
-64.37,-66.64,83.3,537.2805747909322,568.4127854879567,537.2805747909322
-64.37,-66.62,102.0,535.7384007694999,567.251343882211,535.7384007694999
-64.37,-66.61,83.4,534.9691212336129,566.6730106153652,534.9691212336129
-64.37,-66.61,96.0,534.9691212336129,566.6730106153652,534.9691212336129
-64.37,-66.6,56.1,534.2010536246362,566.0962755480682,534.2010536246362
-64.37,-65.19,79.0,440.90088916659556,503.1499956033019,440.90088916659556
-64.32,130.49,82.0,2447.3359903259707,2447.376469203209,2447.3359903259707
-64.21667,-165.9,49.0,286.42612338500066,286.42612338500066,286.4679841775511
-64.21,75.01,57.0,4213.84590284824,4213.84590284824,4213.905152178969
-64.19666667,139.7483333,66.97,1573.0567601410662,1573.0567601410662,1573.1087954020973
-64.13333,169.98333,116.0,196.33277241523143,196.3700237168145,196.33277241523143
-64.0667,-36.95,175.0,653.0190562242756,653.0200656794646,653.0190562242756
-63.99,118.28,49.0,2872.81758668146,2872.81758668146,2872.869247966107
-63.99,118.43,54.0,2875.6185160180034,2875.6185160180034,2875.670126984081
-63.93,105.15,85.0,2961.382881771547,2961.382881771547,2961.4165219245074
-63.89,127.84,72.0,2600.0047447878997,2600.0678966036344,2600.0047447878997
